pattern,complexity_response,beauty_response,rt,is_repeated,trial
184,9,13,9010,False,1
165,7,55,7147,False,2
198,91,95,6158,True,3
214,17,43,7830,False,4
186,61,95,7980,False,5
205,87,95,6137,False,6
199,37,93,4558,False,7
188,54,97,6736,False,8
206,90,97,4203,False,9
169,8,7,3897,False,10
209,69,47,7617,False,11
167,17,34,6049,False,12
171,55,38,8561,False,13
213,88,94,5082,False,14
190,78,99,4575,False,15
173,53,98,6133,False,16
172,19,79,4181,True,17
198,69,95,5425,True,18
191,98,98,3973,False,19
179,98,98,4066,False,20
164,24,65,6874,False,21
212,56,74,6483,False,22
172,14,80,5063,True,23
203,90,80,6842,False,24
168,27,58,7084,False,25
204,59,24,5787,False,26
189,39,20,5260,True,27
175,11,93,4717,False,28
176,8,80,7826,False,29
177,8,13,5104,False,30
170,15,27,4362,False,31
216,5,9,8325,True,32
215,4,5,4061,False,33
189,27,44,6668,True,34
208,72,88,4580,False,35
201,93,97,4493,False,36
183,98,98,3756,True,37
202,98,72,5173,False,38
210,48,61,4820,True,39
211,22,32,4794,False,40
185,62,90,4872,False,41
183,75,99,6433,True,42
192,59,77,13684,False,43
166,20,92,3749,False,44
194,13,79,3682,False,45
210,84,8,6356,True,46
182,32,98,7403,False,47
195,50,69,6939,False,48
178,27,56,4630,False,49
174,18,78,4431,False,50
193,28,89,5132,False,51
200,44,62,6795,False,52
196,21,94,23684,False,53
216,82,14,3926,True,54
197,13,93,5213,False,55
163,0,86,6759,False,56
181,62,90,6003,False,57
180,46,33,7501,False,58
187,73,44,4202,False,59
207,98,98,5348,False,60
