pattern,complexity_response,beauty_response,rt,is_repeated,trial
188,28,56,6285,False,1
169,3,3,3611,True,2
212,39,42,5030,False,3
174,30,64,4038,False,4
195,16,9,4419,False,5
210,24,7,3262,True,6
191,50,76,3757,False,7
175,13,64,4924,False,8
208,30,50,4356,False,9
182,43,56,3345,True,10
172,11,24,5057,False,11
186,43,50,2986,False,12
177,5,10,5307,False,13
210,30,17,4841,True,14
179,66,83,4010,False,15
178,73,81,3233,False,16
170,8,7,3516,False,17
169,11,7,12412,True,18
187,43,38,40796,False,19
183,66,90,3223,False,20
206,85,91,3474,False,21
196,77,84,3270,False,22
209,81,64,3832,False,23
189,51,20,3750,True,24
211,51,23,3439,False,25
163,0,49,5251,False,26
213,83,91,4401,True,27
181,74,83,3754,False,28
201,82,92,2770,False,29
200,66,72,4628,True,30
173,54,82,5070,False,31
207,97,91,4834,False,32
202,70,56,3476,False,33
171,44,34,4675,False,34
204,60,35,4188,False,35
167,2,0,13540,False,36
168,6,3,2990,False,37
180,15,5,3181,False,38
192,85,90,3483,False,39
213,85,90,2830,True,40
190,87,91,4212,False,41
193,92,91,3404,False,42
194,69,94,4245,False,43
166,51,97,6801,False,44
184,27,5,4438,False,45
164,5,2,3362,False,46
185,57,94,7381,False,47
205,91,93,4081,False,48
182,90,94,2896,True,49
165,8,2,3834,False,50
203,66,9,9573,False,51
200,39,59,7299,True,52
215,30,23,3758,False,53
199,64,69,4346,False,54
176,52,77,4790,False,55
216,33,20,3622,False,56
189,39,10,5798,True,57
198,75,87,5244,False,58
197,78,98,36899,False,59
214,54,21,4504,False,60
