pattern,complexity_response,beauty_response,rt,is_repeated,trial
25,33,83,11332,False,1
46,56,38,11749,True,2
13,42,49,6864,False,3
7,22,75,5038,False,4
29,25,55,5116,False,5
42,39,57,5200,True,6
27,59,47,4559,True,7
44,38,56,5943,False,8
51,86,23,5272,False,9
10,27,17,11323,False,10
36,35,53,5109,False,11
24,72,21,4942,False,12
17,25,15,8465,True,13
12,38,33,4839,False,14
2,3,4,5029,False,15
18,32,41,5313,False,16
22,26,1,7005,False,17
43,35,9,224332,False,18
38,10,20,48043,False,19
6,69,99,5322,False,20
49,48,2,4790,False,21
37,46,85,29054,False,22
45,81,78,5718,False,23
35,8,28,157309,False,24
46,38,20,7561,True,25
16,17,7,11441,False,26
11,13,13,4192,False,27
1,1,3,4742,False,28
39,11,25,4629,False,29
20,27,18,5873,False,30
42,36,66,4485,True,31
19,29,53,63227,False,32
26,41,46,2561,False,33
30,60,77,6711,False,34
32,23,70,10852,False,35
5,54,54,2990,False,36
9,33,63,6332,False,37
47,21,3,6215,False,38
50,17,7,3108,True,39
14,59,49,5466,False,40
3,45,66,5127,False,41
48,40,65,6577,False,42
4,7,36,5290,False,43
34,29,50,22755,False,44
8,6,6,5621,True,45
50,35,2,4545,True,46
52,69,73,3567,False,47
23,56,65,4829,False,48
33,39,14,4498,False,49
31,50,40,6597,False,50
8,16,8,3975,True,51
17,1,4,3469,True,52
41,22,47,2664,False,53
54,33,10,3847,False,54
40,42,42,2768,False,55
27,18,14,3139,True,56
53,23,14,2287,False,57
15,31,17,4336,False,58
28,56,43,3705,False,59
21,35,36,3122,False,60
