pattern,complexity_response,beauty_response,rt,is_repeated,trial
28,24,47,8527,False,1
25,25,42,7733,False,2
32,14,45,4711,True,3
8,24,66,7993,True,4
30,27,35,5736,False,5
33,54,37,8068,False,6
9,10,70,5134,False,7
52,33,44,5362,False,8
17,38,78,5039,False,9
43,59,44,4906,False,10
54,67,27,4882,False,11
10,20,33,5363,True,12
37,39,48,5471,False,13
10,21,35,6290,True,14
45,54,54,6703,True,15
49,64,41,5037,False,16
34,29,56,6683,False,17
29,24,62,7987,False,18
36,30,51,6599,False,19
1,2,82,7295,False,20
19,36,43,4882,False,21
13,27,50,7914,False,22
45,29,42,4881,True,23
53,63,47,9440,False,24
40,40,37,4112,False,25
26,34,55,8479,False,26
15,29,59,5182,True,27
14,54,38,6601,False,28
32,44,56,8599,True,29
21,53,53,6290,False,30
12,34,58,8682,False,31
2,19,64,5315,False,32
24,44,31,5906,False,33
47,65,38,8829,False,34
20,29,58,5338,True,35
22,49,54,5965,False,36
18,25,63,5484,False,37
42,52,38,6037,False,38
27,56,68,7650,False,39
5,19,67,7709,False,40
3,20,68,6676,False,41
31,63,27,7277,False,42
51,65,29,4730,False,43
15,49,58,5409,True,44
7,13,65,8406,False,45
11,28,65,5076,False,46
50,60,57,7960,False,47
6,4,16,5075,False,48
4,4,77,5546,False,49
38,22,54,5978,False,50
46,38,50,5820,False,51
8,25,66,5761,True,52
35,48,39,7469,False,53
48,38,56,7220,False,54
23,42,50,6034,False,55
44,45,55,5147,False,56
41,31,59,5207,False,57
16,26,69,5423,False,58
20,26,64,5785,True,59
39,32,64,6469,False,60
