pattern,complexity_response,beauty_response,rt,is_repeated,trial
131,17,20,4097,False,1
159,75,81,5157,False,2
113,42,59,4051,False,3
146,79,84,4457,False,4
147,75,34,3710,False,5
122,32,19,3831,False,6
121,79,84,3671,False,7
151,82,73,3808,False,8
149,75,72,3493,False,9
160,56,29,4085,False,10
161,52,39,2454,False,11
145,74,79,3286,True,12
132,63,80,3721,False,13
139,66,82,2453,False,14
145,49,76,2798,True,15
126,80,88,3879,False,16
155,65,82,2665,False,17
140,58,75,2632,True,18
123,38,24,5012,True,19
130,55,61,2503,False,20
157,23,14,4975,False,21
124,42,54,2567,False,22
154,71,57,3926,False,23
137,35,11,2705,False,24
112,41,31,3988,False,25
153,76,90,3695,False,26
120,27,11,3718,False,27
115,32,19,2439,False,28
135,69,66,3903,True,29
141,36,11,2559,True,30
136,72,93,4529,False,31
110,67,74,2526,False,32
162,31,10,2592,False,33
140,67,73,3142,True,34
111,67,74,2479,False,35
114,17,6,2902,False,36
116,16,1,3192,False,37
143,70,73,2815,False,38
141,31,13,3381,True,39
123,26,10,5686,True,40
119,77,88,2944,False,41
144,67,78,3622,False,42
142,51,65,11991,False,43
129,67,79,3366,False,44
148,63,74,2975,False,45
133,68,84,3679,False,46
109,47,18,3847,False,47
117,64,78,2359,True,48
138,64,76,2808,False,49
156,21,8,6132,False,50
152,58,51,2480,False,51
118,46,70,4638,False,52
135,49,34,3743,True,53
128,56,43,2351,False,54
134,56,60,2839,False,55
158,42,18,2839,False,56
125,44,32,3111,False,57
150,38,25,3424,False,58
127,54,62,2238,False,59
117,52,40,8511,True,60
