pattern,complexity_response,beauty_response,rt,is_repeated,trial
6,27,65,5573,False,1
44,53,43,5706,False,2
30,63,77,6378,False,3
35,78,69,6301,False,4
19,86,79,4636,False,5
33,23,33,6203,False,6
39,64,69,5891,False,7
49,37,17,5294,True,8
11,32,13,4996,False,9
10,18,10,5619,False,10
23,93,61,5004,False,11
22,19,27,4061,False,12
7,26,33,6493,True,13
31,74,42,4902,False,14
25,79,89,4340,False,15
4,44,52,6973,False,16
43,41,33,4826,False,17
51,46,26,3624,True,18
16,36,15,4713,False,19
32,60,62,8243,False,20
34,83,67,5773,False,21
28,92,60,4009,False,22
5,60,74,5439,False,23
54,38,23,3687,False,24
24,62,31,5484,False,25
49,51,36,5222,True,26
53,60,29,4666,True,27
12,67,61,5170,False,28
27,65,55,4499,False,29
46,97,70,7174,False,30
15,44,21,5574,False,31
17,49,18,3411,False,32
14,99,89,5493,True,33
41,81,75,3770,False,34
53,60,19,4461,True,35
50,51,9,3980,False,36
40,87,77,3829,False,37
45,91,82,4461,True,38
42,95,89,3801,False,39
7,49,31,5140,True,40
37,94,89,4264,False,41
48,92,98,4606,False,42
38,75,69,5460,False,43
21,80,70,4136,False,44
1,7,2,4939,False,45
2,2,2,4049,False,46
36,97,90,8668,False,47
8,22,3,4564,False,48
18,72,64,4038,False,49
3,37,5,5261,False,50
13,19,3,4032,False,51
20,79,68,3562,False,52
52,90,77,5909,False,53
26,90,80,7428,False,54
45,97,85,3921,True,55
51,44,22,3505,True,56
9,80,68,4662,False,57
29,85,77,4412,False,58
14,97,88,4686,True,59
47,32,11,3431,False,60
