pattern,complexity_response,beauty_response,rt,is_repeated,trial
166,58,75,6054,False,1
173,67,71,5115,True,2
198,63,73,5002,False,3
212,90,37,4719,False,4
202,62,39,3884,False,5
191,100,92,4451,False,6
205,93,94,3301,False,7
195,47,13,4335,False,8
203,61,35,3483,False,9
184,52,6,3433,False,10
178,88,88,3968,False,11
186,95,94,3250,False,12
213,84,83,3401,False,13
197,14,86,3817,False,14
179,33,84,2801,False,15
206,41,86,4151,False,16
204,67,16,4201,True,17
171,4,12,5670,True,18
189,33,7,3917,False,19
170,9,8,3134,False,20
200,53,30,3934,False,21
167,14,7,4134,False,22
164,33,3,4518,False,23
214,79,7,3184,False,24
172,2,22,3817,False,25
204,69,4,3701,True,26
194,8,76,3601,True,27
169,28,1,6236,False,28
208,76,78,5236,False,29
163,1,76,4200,False,30
201,88,88,4401,False,31
173,44,63,4487,True,32
209,77,50,6620,False,33
171,20,32,4217,True,34
188,64,84,5202,False,35
211,67,8,4719,True,36
185,49,82,4100,True,37
176,20,94,2884,False,38
215,84,10,4068,False,39
192,84,83,3283,False,40
190,74,98,4368,False,41
177,31,7,5335,False,42
210,68,7,3067,False,43
199,49,78,3266,False,44
182,19,64,3117,False,45
183,64,76,4367,False,46
168,7,9,4652,False,47
216,75,6,3434,False,48
175,2,67,3367,False,49
194,16,78,2683,True,50
211,81,11,4901,True,51
185,75,79,4184,True,52
174,45,86,4286,False,53
165,12,3,4902,False,54
193,63,77,4218,False,55
196,30,85,2583,False,56
181,74,37,5218,False,57
207,76,31,4451,False,58
187,64,10,4200,False,59
180,56,10,3050,False,60
