pattern,complexity_response,beauty_response,rt,is_repeated,trial
26,32,44,4731,True,1
34,19,43,3374,False,2
45,6,6,3335,False,3
9,7,10,3383,False,4
30,18,19,2691,False,5
33,17,18,2296,False,6
47,4,2,3522,False,7
14,19,40,2601,True,8
4,11,27,2538,False,9
16,1,1,2925,False,10
53,5,10,2869,False,11
49,7,10,2627,False,12
3,1,24,3537,True,13
11,15,14,2682,False,14
51,9,11,2393,False,15
27,7,10,3528,False,16
19,8,12,2741,False,17
35,19,21,2586,False,18
29,8,43,3207,False,19
23,14,37,2409,False,20
20,11,14,2614,True,21
24,10,2,2951,False,22
38,7,7,2723,False,23
39,9,8,2893,False,24
21,20,8,2892,False,25
8,5,1,2812,False,26
46,5,7,3384,False,27
44,8,9,2756,False,28
32,6,33,2578,False,29
52,27,28,2828,False,30
54,13,31,2627,False,31
28,11,33,2989,False,32
18,2,49,2965,False,33
2,2,2,3441,False,34
41,30,33,3393,False,35
3,15,16,4069,True,36
10,1,1,2966,False,37
13,1,2,2998,False,38
5,8,51,2546,False,39
14,53,23,3400,True,40
7,1,2,2949,False,41
36,46,28,2764,False,42
25,45,28,2530,False,43
12,41,22,2602,False,44
42,28,23,5651,False,45
48,4,9,7779,True,46
40,17,18,3277,False,47
50,16,17,2702,False,48
20,47,25,2467,True,49
43,11,17,2755,False,50
15,6,7,2369,False,51
26,47,47,2803,True,52
48,11,19,2780,True,53
17,2,1,3715,False,54
37,29,49,2506,True,55
6,31,47,2159,False,56
31,1,2,2982,False,57
1,1,1,3232,False,58
37,33,47,2547,True,59
22,7,9,2659,False,60
