pattern,complexity_response,beauty_response,rt,is_repeated,trial
116,18,48,5233,True,1
114,17,9,27961,True,2
149,82,46,3247,False,3
125,61,37,3098,False,4
161,65,73,3598,False,5
114,24,27,2849,True,6
118,35,32,3631,False,7
126,69,55,2601,True,8
154,84,68,3161,False,9
158,87,71,2668,False,10
126,67,37,3563,True,11
111,22,76,4131,False,12
137,17,10,3981,False,13
152,81,71,4200,True,14
120,27,24,3882,False,15
143,81,71,3698,False,16
147,74,59,3949,True,17
115,75,57,3179,False,18
124,32,29,6215,False,19
122,27,19,3716,False,20
151,82,73,3681,False,21
133,85,70,3081,False,22
157,78,48,3730,False,23
150,76,41,2913,False,24
128,37,73,3800,False,25
145,58,71,3165,False,26
127,72,76,2780,False,27
138,77,68,2766,False,28
146,80,90,3213,True,29
136,86,81,2599,False,30
155,78,80,3297,False,31
112,19,34,4414,False,32
121,73,72,3232,False,33
156,61,7,4815,False,34
132,15,20,3196,False,35
139,76,59,4199,False,36
116,14,13,2980,True,37
119,11,32,3381,False,38
131,13,1,3585,False,39
109,17,56,2929,False,40
135,60,40,2797,False,41
148,31,57,2332,False,42
140,40,41,2796,False,43
144,42,58,3550,False,44
142,58,66,3129,False,45
152,71,75,2980,True,46
123,27,7,3034,False,47
117,26,51,3079,False,48
113,20,20,3599,False,49
141,12,31,2597,False,50
153,35,68,3448,False,51
129,9,27,3477,False,52
110,9,73,3513,False,53
159,74,44,4364,False,54
130,14,35,4431,False,55
160,82,22,5014,False,56
147,77,24,2947,True,57
134,72,25,2633,False,58
162,75,28,3815,False,59
146,73,66,2846,True,60
