pattern,complexity_response,beauty_response,rt,is_repeated,trial
77,75,84,10588,False,1
87,85,63,7436,False,2
106,85,85,6646,False,3
69,71,73,10317,True,4
66,55,52,6900,False,5
63,47,48,11574,False,6
104,63,46,6347,False,7
107,60,41,8579,False,8
82,68,69,5344,False,9
59,34,32,4321,False,10
70,51,42,5986,False,11
79,60,50,5427,False,12
97,65,48,4397,False,13
99,56,63,10054,True,14
71,51,43,4978,False,15
73,68,65,5082,False,16
86,70,57,5619,False,17
58,32,31,8087,True,18
78,59,65,5411,False,19
88,63,55,6240,False,20
93,52,51,8951,False,21
95,63,44,5424,False,22
55,17,31,5876,False,23
76,51,45,9311,False,24
57,25,37,8806,False,25
69,65,67,4970,True,26
65,46,31,5306,True,27
61,40,32,4651,False,28
58,30,39,6304,True,29
105,67,50,7284,False,30
68,49,48,6373,False,31
62,50,50,3754,False,32
56,16,18,4707,False,33
91,58,75,6791,False,34
94,61,54,16693,False,35
92,67,74,4888,False,36
74,64,65,4748,False,37
89,58,50,6528,True,38
100,70,71,7808,False,39
108,65,49,9805,False,40
101,64,73,14041,False,41
89,57,50,4093,True,42
96,51,68,6534,False,43
99,53,60,4094,True,44
65,36,36,7949,True,45
60,20,29,7669,True,46
75,60,48,5997,False,47
83,69,45,4768,False,48
98,69,60,6044,False,49
67,35,36,5944,False,50
102,68,47,4834,False,51
72,61,63,6835,False,52
85,66,72,4050,False,53
103,61,37,9258,False,54
81,26,41,6093,False,55
80,64,74,4324,False,56
60,23,35,4372,True,57
90,65,73,8893,False,58
84,32,43,6884,False,59
64,49,49,7965,False,60
