pattern,complexity_response,beauty_response,rt,is_repeated,trial
158,22,2,15156,False,1
112,4,0,12937,False,2
111,83,99,18795,False,3
146,99,69,10984,False,4
131,0,1,19103,True,5
118,20,33,19831,False,6
154,87,3,14814,True,7
162,13,14,13373,False,8
151,97,65,9571,False,9
124,9,9,13793,False,10
134,100,1,9129,False,11
159,99,49,8936,True,12
153,94,67,8947,False,13
160,1,3,8584,False,14
149,19,20,16946,False,15
117,49,12,10579,False,16
156,3,6,7468,True,17
128,66,96,9578,False,18
126,18,3,7390,False,19
121,99,84,8848,False,20
130,99,98,8504,True,21
132,100,100,9749,False,22
133,100,100,8106,False,23
150,25,26,8550,False,24
114,2,13,9372,False,25
144,99,90,6274,False,26
113,1,10,6962,False,27
131,6,4,27581,True,28
136,100,7,9243,False,29
140,100,3,8730,False,30
156,1,3,6815,True,31
138,99,84,9178,False,32
155,100,93,9370,False,33
137,8,2,5952,False,34
119,61,48,8041,False,35
130,87,21,18865,True,36
125,1,1,8562,False,37
129,49,69,7321,False,38
109,1,4,6329,False,39
110,83,80,6836,True,40
139,83,84,6651,False,41
152,100,23,6658,False,42
143,100,22,24383,False,43
120,8,5,5473,False,44
159,100,48,8875,True,45
142,100,63,6438,False,46
141,0,24,9150,False,47
157,1,0,31795,False,48
161,51,34,8170,False,49
116,26,72,8058,False,50
127,97,80,6167,False,51
145,96,36,6892,False,52
110,82,49,15871,True,53
115,2,5,6010,False,54
154,95,1,24248,True,55
148,76,72,6703,False,56
123,3,5,5932,False,57
147,49,57,7471,False,58
135,72,54,6892,False,59
122,3,4,9519,False,60
