pattern,complexity_response,beauty_response,rt,is_repeated,trial
158,39,21,4614,False,1
145,33,23,4532,False,2
138,41,15,3847,False,3
159,41,26,3366,False,4
157,36,27,3294,True,5
135,33,24,3353,False,6
146,40,33,3314,False,7
142,41,25,2998,False,8
137,28,18,3363,False,9
114,8,4,3850,False,10
162,39,6,3482,False,11
115,13,7,4715,False,12
120,7,3,3168,False,13
140,43,6,3513,False,14
124,12,3,3381,False,15
110,3,3,3517,False,16
153,17,4,3114,False,17
117,45,3,4846,False,18
141,20,3,3001,False,19
127,29,3,3583,False,20
149,15,3,3766,True,21
129,57,5,3397,False,22
155,25,3,3174,False,23
143,62,17,3982,True,24
139,59,18,3628,False,25
116,8,1,3298,False,26
160,25,5,3268,False,27
111,31,21,4482,True,28
157,45,5,4233,True,29
126,41,9,3348,False,30
112,15,2,5031,False,31
154,64,6,3945,False,32
144,53,5,3302,False,33
133,64,12,3181,False,34
136,66,20,3335,True,35
118,4,1,4185,False,36
123,15,3,4008,False,37
152,64,18,4399,False,38
150,46,11,3233,False,39
156,18,6,3398,False,40
161,53,8,4663,False,41
119,73,24,4850,False,42
143,81,23,3833,True,43
132,57,12,3683,False,44
130,73,26,3213,False,45
109,8,2,3450,False,46
148,62,27,3331,False,47
147,29,5,3163,True,48
111,21,18,4619,True,49
131,27,1,3950,False,50
125,30,1,4357,False,51
113,6,3,3448,False,52
122,14,4,3981,False,53
121,67,23,3782,False,54
151,88,26,3833,False,55
149,26,4,3932,True,56
128,39,26,5981,False,57
147,23,4,3484,True,58
136,80,33,3313,True,59
134,80,29,3315,False,60
