subject,gender,age,nationality,art_training_scores,complexity_strategy,most_complex,beauty_strategy,most_beautiful,open_comments,num_failed_attention_checks,num_attention_checks,set,time_taken
k1fluxxs,female,24,American,"[4, 4, 3, 4, 3, 3, 1, 0, 0, 6, 0]",Placement/ratio of black and white squares,The ones that would be hardest for me to replicate -- the randomest ones.,Intuition,"I think I tended to think the beautiful ones were symmetrical. They reminded me of an old-fashioned quilt or cross-stitch, kind of a folk sort of beauty, which is ironic since they were computer-generated. 
I think I also thought ones were beautiful where I could ""see"" a scene/image in the design that wasn't there",,0,2,1,16.133333333333333
bg5rytru,male,45,American,"[3, 1, 1, 3, 1, 1, 1, 0, 0, 0, 0]","The more content and the more it was arranged in a pattern, I rated it more complex.",The most intricate ones.,I rated it by how appealing it looks.,The ones that have an attractive design.,no,0,2,2,13.983333333333333
4qs4vxso,female,43,US,"[3, 2, 3, 2, 2, 3, 2, 1, 1, 2, 3]",Intricacy - more like a feeling.,Messy but balanced,If I liked it or not,"Not really sure, I do know I don't like the ones with the Purina symbol in the middle.",No,0,3,3,9.366666666666667
4skc23wj,male,29,USA,"[3, 3, 4, 3, 1, 2, 3, 2, 0, 6, 0]","The less structure present, in some cases, the more complexity. However, extreme levels of structures also indicated complexity to me as well. ","Patterns that had a deliberate design, or were extremely chaotic or extremely symmetrical.","The strategy for beauty was more related to contrast, and design aesthetic. Some designs were more beautiful just because, it's very hard to describe why some were more than others, it felt very impulsive at times.","More often than not, simple was beauty, or extremely well-done symmetry was beauty to me as well.","For the questions on beauty and complexity, it could help if we saw references of the pictures we rated as 'most' complex/beautiful to even better explain why we chose what we chose.",1,2,2,35.75
7o10ou6b,male,40,Asian-Caucasian,"[4, 4, 4, 4, 2, 4, 3, 1, 2, 6, 2]","ability to copy/recall, less repeating while  maintaining some form ie not random but might look that way","least repetition while maintaining form, varying form types in single pattern",narrow objective societal aesthetic (which includes me) + wide subjective personal aesthetic ,emotive. dark but not dirty. pretty but unique.  (one looked like Klimt's the kiss with a little heart next to it!),nice one,0,2,3,64.33333333333333
oynybv6v,male,21,american ,"[3, 2, 3, 3, 1, 1, 1, 1, 0, 6, 0]",the pattern ,abstract ,if i felt a connection with the art,ones where i could tell what it was,no,0,3,2,10.066666666666666
lr2361od,female,40,American,"[3, 2, 1, 2, 1, 1, 1, 0, 0, 2, 0]",If the picture took a lot of work to create.,The ones that looked arranged not random.,If I thought it was pretty. ,The ones the had a lot of black squares looked more beautiful. ,No,0,2,4,10.8
jk9ypdjk,female,38,American,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",How difficult it would be to create the image,Images with more shapes in the middle and not just a whole string of one color,Just what I liked the look of.,Images that had a bit more of a pattern.,no,0,2,2,19.3
qra4neq0,female,35,American,"[3, 3, 3, 3, 3, 4, 3, 1, 3, 6, 1]",How many pixels were contrasted and what was the orientation of the contrasted pixels to each other?,The high contrast ratio with the pixels having close proximity in being contrasted with each other. A touch of order or continuity in one of the colors sometimes added or took away complexity.,I was looking for symmetry with some level of complexity but outright symmetry and outright complexity alone was not enough for a higher beauty rating. A combination of low or high complexity with symmetry affected how beautiful I found the patterns.,"All the most beautiful patterns at symmetry, but they had to have a more unique balance of symmetry and complexity than just a very computerized-looking pattern.",No thank you.,0,2,2,13.066666666666666
udza1tsn,female,43,White,"[2, 2, 1, 3, 1, 3, 2, 0, 2, 5, 0]","If I had to draw it by pixel how hard would it be? The harder it would be to copy, the more complex.",Patterns that repeated on each side and formed a solid image.,Simply if I liked it or not. Would I want it tiled as a wallpaper or could I see it in multi-colors,uniform patterns. Things that looked like it could be tiled and repeated.,"This went really smoothly. But, as it forces to fullscreen and I have a 27"" monitor there is a LOT of white on the page that causes eye glare. I do use glasses to help that, but having a grey or even cream background can help.",0,3,4,11.216666666666667
uyfyl709,female,18,Asian,"[2, 3, 3, 3, 2, 4, 0, 1, 3, 6, 3]","If the pictures were in front of me, how hard it would be for me to recreate it by only looking at it. It wouldn't have to be perfect, but at least close to it.",The ones that were kind of everywhere but still felt like they were purposefully placed.,How aesthetically pleasing it was to look at.,"Usually the ones that were symmetrical, but sometimes the ones that I saw as complex and they stood out more. ",,0,2,1,28.55
eygx65j4,female,22,American,"[0, 0, 3, 1, 1, 0, 3, 2, 0, 6, 0]","Number of decipherable ""pixel"" shape elements and/or recognizable pattern",The ones that had the most decipherable square/pixel shapes and were arranged in a noticeable pattern,Instinctual response based on whether or not I found it appealing,The ones that had a recognizable pattern and were usually symmetrical ,No,0,2,1,7.25
hgh3pozh,male,49,United States,"[3, 3, 2, 3, 2, 3, 1, 2, 3, 5, 1]",If there was symmetry involved I tended to rate it as less complex,Those that had many squares involved that had no pattern,"I like symmetry very much. I do appreciate abstract pictures as well, but not as much.",Those that were symmetrical.,n/a,0,3,4,9.466666666666667
drdg9m3c,female,21,American,"[1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0]",If it seemed hard to duplicate it myself.,The ones that were not asymmetrical.,If the pattern looked cool or was symmetrical.,The symmetrical ones.,no,0,2,3,9.016666666666667
0wkr2q9r,male,42,American,"[3, 4, 4, 3, 4, 3, 2, 3, 5, 6, 6]",I rated what I found difficult to see and understand as complex.,Which does not follow any specific figure.,Structure and artistic craftsmanship.,Which is the most beautiful in terms of structure and craftsmanship.,,0,2,1,37.63333333333333
51hlbwtn,female,38,American ,"[3, 3, 1, 3, 3, 3, 3, 0, 1, 3, 0]",I rate the complexity on how different it was to a regular pattern. ,The ones that looked like they took the most work to do. ,I rated things high in beauty when they were fun to look at. ,The patterns that were interesting looking were the most beautiful. ,,0,2,4,7.316666666666666
mrtl696v,female,22,American,"[3, 3, 1, 4, 3, 4, 2, 4, 1, 5, 4]","By the pattern symmetry and how ""thick"" the white or black lines were","More symmetric and patterns having many ""thinner"" lines ",Symmetry and the ability for the pattern to be tiled to itself as a repeating pattern,"Symmetrical, not having lines that were too ""thick"" or ""thin""",,1,2,1,11.283333333333333
w0yulb5e,female,27,American,"[4, 3, 4, 3, 3, 4, 4, 1, 3, 6, 1]",The intricacy of the design. ,The ones that had more contrasting pixels.,"When a pattern was symmetrical, I tended to rank it higher.",The symmetrical ones.,,0,3,4,7.3
oqub8j0e,male,26,Irish,"[3, 3, 2, 2, 2, 3, 1, 1, 2, 3, 1]",How hard it was to find a pattren of any kind,The one with no structure,Appealing to the eye,The one's with a clear direction ,no,0,2,3,6.433333333333334
m3kngv5z,female,30,USA,"[4, 4, 3, 3, 3, 2, 4, 3, 1, 4, 1]","lost of black and white squares, more complex. Less pattern, more complex",The ones with no patterns but lots of little squares,"more pattern usually mean more beauty, ",Symmetry and simple,,0,3,3,7.4
ls1hg9ya,male,79,United States,"[3, 2, 1, 3, 2, 3, 2, 1, 0, 4, 1]",If they had any design or were totally random and the total number of blocks.,More blocks used and more random.,Strictly by appeal to my eye.,Interesting design.,N/A,2,2,3,19.266666666666666
cdf9fufj,male,53,American,"[3, 3, 3, 3, 1, 3, 3, 1, 3, 4, 1]",I rated complexity based on how many different patterns were present.,The patterns with the most variation across the image.,I tended to value symmetry highly and then factored in how complex the image was.,"Complex images with a lot of symmetry were the most beautiful, but I also liked complex images that had a rhythmic quality.",,0,2,2,18.95
