"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","beauty_rating ~ complexity_rating + (1 | subject)","8046.4","8070.6","3052.4","0.29","0.00025","0.25","0.00073","0.85","7.1e-05","0.87","0.00019"
"2","beauty_rating ~ complexity_rating + asymm + entropy + (1 | subject)","6651.4","6687.6","6156.6","0.55","0.00016","0.53","0.00069","0.67","7.5e-05","0.69","3e-04"
"3","beauty_rating ~ complexity_rating + asymm + entropy + (complexity_rating | subject)","6358.1","6406.4","1344.9","0.62","2.8e-05","0.58","0.00028","0.62","8e-06","0.65","0.00011"
"4","beauty_rating ~ complexity_rating + asymm + entropy + (asymm | subject)","6261.7","6310.1","6742.3","0.64","0.00014","0.58","7e-04","0.6","7e-05","0.65","0.00033"
"5","beauty_rating ~ complexity_rating + asymm + entropy + (entropy | subject)","6623.7","6672","4951.1","0.57","0.00011","0.53","0.00064","0.65","4.6e-05","0.69","0.00027"
"6","beauty_rating ~ complexity_rating + disorder + (1 | subject)","6449.6","6479.8","5423.6","0.58","0.00013","0.55","0.00053","0.65","6.3e-05","0.67","0.00024"
"7","beauty_rating ~ complexity_rating + disorder + (disorder | subject)","5985","6027.3","6317.1","0.67","0.00011","0.63","0.00051","0.58","6e-05","0.61","0.00026"
"8","beauty_rating ~ complexity_rating * disorder + (disorder | subject)","5919.1","5967.4","6164.4","0.68","9.8e-05","0.64","0.00048","0.57","5.5e-05","0.6","0.00025"
"9","beauty_rating ~ complexity_rating * disorder_1 + (disorder_1 | subject)","6083","6131.4","9223.2","0.66","0.00016","0.61","0.00079","0.58","9e-05","0.62","0.00041"
"10","beauty_rating ~ complexity_rating * disorder_2 + (disorder_2 | subject)","6099.8","6148.2","8974.6","0.66","0.00016","0.61","0.00078","0.59","8.8e-05","0.62","0.00039"
"11","beauty_rating ~ complexity_rating_sq + disorder + (1 | subject)","6872.3","6902.6","1543.3","0.52","5.4e-05","0.49","0.00025","0.69","2.1e-05","0.71","8.8e-05"
"12","beauty_rating ~ complexity_rating + complexity_rating_sq + disorder + (1 | subject)","6457.9","6494.2","5480.4","0.58","0.00013","0.55","0.00054","0.65","6.3e-05","0.67","0.00024"
"13","beauty_rating ~ LSC + intricacy_4 + asymm + entropy + (1 | subject)","6852","6894.3","1332.4","0.53","3.1e-05","0.5","0.00015","0.69","1.8e-05","0.71","7.1e-05"
"14","beauty_rating ~ LSC + intricacy_4 + disorder + (1 | subject)","6685.8","6722","1414.5","0.55","3.4e-05","0.52","0.00015","0.67","1.9e-05","0.69","7e-05"
"15","beauty_rating ~ LSC + intricacy_4 + disorder + (disorder | subject)","6185","6233.4","2373.3","0.65","5.3e-05","0.61","0.00021","0.59","2.5e-05","0.63","9.1e-05"
"16","beauty_rating ~ LSC + intricacy_4 + disorder + (LSC + intricacy_4):disorder + (disorder | subject)","6088.1","6148.6","1446.1","0.66","3.2e-05","0.62","0.00013","0.58","1.6e-05","0.62","5.7e-05"
"17","beauty_rating ~ trial + (1 | subject)","8544.7","8568.9","751.7","0.17","0.00012","0.12","0.00033","0.91","2.4e-05","0.94","5.8e-05"
"18","beauty_rating ~ complexity_rating * disorder + trial + (disorder | subject)","5926.7","5981.1","6272.3","0.68","9.9e-05","0.64","0.00049","0.57","5.6e-05","0.6","0.00026"
"19","beauty_rating ~ previous_beauty_rating + (trial | subject)","8526.8","8563.1","1450","0.17","9.5e-05","0.13","5e-04","0.91","2e-05","0.94","0.00014"
"20","beauty_rating ~ complexity_rating * disorder + previous_beauty_rating + (disorder | subject)","5903.3","5957.7","6532.6","0.68","9.9e-05","0.64","5e-04","0.57","5.7e-05","0.6","0.00027"
"21","beauty_rating ~ complexity_rating * trial + (1 | subject)","8060.9","8097.2","3075.9","0.29","0.00025","0.25","0.00073","0.85","7.1e-05","0.87","0.00019"
