"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","complexity_rating ~ 1 + (1 | subject)","8545.5","8563.6","2317.3","0.16","1.7e-06","0.13","4.7e-06","0.92","5e-05","0.93","2e-04"
"2","complexity_rating ~ 1 + (1 | subject) + (1 | set)","8546.4","8570.6","2355.6","0.16","1.8e-06","0.13","2.6e-06","0.92","5e-05","0.93","2e-04"
"3","complexity_rating ~ density + (1 | subject)","8331.2","8355.4","1485.5","0.22","4.2e-05","0.19","0.00019","0.88","3.3e-05","0.9","0.00013"
"4","complexity_rating ~ entropy + (1 | subject)","7829.9","7854.1","1754.5","0.34","8e-05","0.31","0.00032","0.81","3.2e-05","0.83","0.00013"
"5","complexity_rating ~ mean_entropy + (1 | subject)","7658.5","7682.7","610","0.38","4.6e-05","0.35","0.00016","0.79","1e-05","0.81","3.9e-05"
"6","complexity_rating ~ entropy_of_means + (1 | subject)","8532.9","8557.1","2287.7","0.17","1.8e-07","0.14","2.9e-06","0.91","4.9e-05","0.93","2e-04"
"7","complexity_rating ~ LSC + (1 | subject)","7552","7576.2","1151.5","0.4","0.00015","0.37","0.00053","0.78","2.3e-05","0.79","7.5e-05"
"8","complexity_rating ~ KC + (1 | subject)","7703.8","7728","524.2","0.37","8.6e-05","0.34","3e-04","0.8","1.1e-05","0.81","3.3e-05"
"9","complexity_rating ~ asymm + (1 | subject)","8399.9","8424.1","1525.3","0.2","5.9e-06","0.17","2.3e-05","0.89","3.1e-05","0.91","0.00013"
"10","complexity_rating ~ intricacy_4 + (1 | subject)","7908.3","7932.5","2347.7","0.32","5.2e-06","0.3","2.1e-05","0.82","3.8e-05","0.84","0.00017"
"11","complexity_rating ~ intricacy_8 + (1 | subject)","8493.1","8517.3","2803.9","0.18","8.5e-06","0.15","2.7e-05","0.91","6e-05","0.92","0.00024"
"12","complexity_rating ~ quadtree + (1 | subject)","7317.2","7341.4","298.4","0.44","5.4e-05","0.42","0.00015","0.75","5.3e-06","0.76","2.1e-05"
"13","complexity_rating ~ LSC + density + (1 | subject)","7551.3","7581.5","1422.4","0.4","0.00017","0.37","0.00062","0.78","2.8e-05","0.79","9.2e-05"
"14","complexity_rating ~ LSC + entropy + (1 | subject)","7536.6","7566.8","1387.7","0.4","0.00018","0.38","0.00066","0.77","2.8e-05","0.79","9.1e-05"
"15","complexity_rating ~ LSC + mean_entropy + (1 | subject)","7550.7","7581","872.7","0.4","0.00012","0.37","0.00045","0.78","1.8e-05","0.79","5.4e-05"
"16","complexity_rating ~ LSC + entropy_of_means + (1 | subject)","7443.8","7474.1","690.5","0.42","0.00013","0.4","0.00045","0.76","1.4e-05","0.78","4.5e-05"
"17","complexity_rating ~ LSC + asymm + (1 | subject)","7525.7","7555.9","979.4","0.4","0.00014","0.38","0.00049","0.77","1.9e-05","0.79","6.6e-05"
"18","complexity_rating ~ LSC + intricacy_4 + (1 | subject)","7285.1","7315.4","229.4","0.45","6.8e-05","0.43","2e-04","0.74","4.6e-06","0.76","1.5e-05"
"19","complexity_rating ~ LSC + intricacy_8 + (1 | subject)","7556.9","7587.1","1221.1","0.4","0.00014","0.37","0.00051","0.78","2.4e-05","0.79","8e-05"
"20","complexity_rating ~ LSC + quadtree + (1 | subject)","7314.8","7345","323.4","0.44","6.7e-05","0.42","2e-04","0.75","6.4e-06","0.76","2e-05"
"21","complexity_rating ~ LSC + intricacy_4 + intricacy_8 + (1 | subject)","7291.4","7327.6","197","0.45","7.1e-05","0.43","0.00021","0.74","4.1e-06","0.76","1.3e-05"
"22","complexity_rating ~ LSC + entropy_of_means + density + (1 | subject)","7449.9","7486.2","801.6","0.42","0.00014","0.4","0.00048","0.76","1.6e-05","0.78","5e-05"
"23","complexity_rating ~ LSC + intricacy_4 + LSC:intricacy_4 + (1 | subject)","7276.8","7313.1","180.2","0.45","7.2e-05","0.43","0.00021","0.74","3.8e-06","0.76","1.1e-05"
"24","complexity_rating ~ LSC + intricacy_4 + (LSC | subject)","7219.9","7262.2","541.1","0.48","0.00012","0.45","0.00036","0.72","1.2e-05","0.75","3.2e-05"
"25","complexity_rating ~ LSC + intricacy_4 + (intricacy_4 | subject)","7166.3","7208.6","660.8","0.5","0.00011","0.46","0.00025","0.71","1.8e-05","0.74","3.4e-05"
"26","complexity_rating ~ LSC + intricacy_4 + ((LSC + intricacy_4) | subject)","7138.9","7199.4","822.7","0.52","0.00015","0.47","0.00035","0.7","2.1e-05","0.73","4.2e-05"
"27","complexity_rating ~ LSC * intricacy_4 + ((LSC + intricacy_4) | subject)","7133.6","7200.1","798.1","0.52","0.00015","0.47","0.00036","0.7","1.8e-05","0.73","4.2e-05"
"28","complexity_rating ~ quadtree + intricacy_4 + (1 | subject)","7311.8","7342.1","264.4","0.44","4.5e-05","0.42","0.00012","0.75","4e-06","0.76","1.8e-05"
"29","complexity_rating ~ quadtree + intricacy_4 + (quadtree | subject)","7194.4","7236.8","179.4","0.49","5.7e-05","0.45","0.00015","0.71","1.9e-06","0.74","3.4e-06"
"30","complexity_rating ~ quadtree + intricacy_4 + ((intricacy_4 + intricacy_4) | subject)","7191.2","7233.5","354","0.49","7.5e-05","0.45","0.00014","0.71","8.2e-06","0.74","2.2e-05"
"31","complexity_rating ~ LSCsq + intricacy_4sq + (1 | subject)","7329.3","7359.5","66.1","0.44","9.5e-05","0.42","0.00029","0.75","2.2e-06","0.77","5.5e-06"
"32","complexity_rating ~ LSC + LSCsq + intricacy_4 + intricacy_4sq + (1 | subject)","7256.7","7299","233.3","0.46","7.1e-05","0.43","2e-04","0.74","4.8e-06","0.75","1.3e-05"
