subject,set,pattern,complexity_rating,beauty_rating,rtime,trial,previous_complexity_rating,previous_beauty_rating,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
01tbfesn,4,207,81,61,24558,1,50,50,0.5733333333333334,0.9844268978000114,0.912797517179158,3.706647201881009,4.5391681470477785,0.9350777217795628,285.4012030350554,61,10,0.0,0.0,0.0,78,5,outertot,1,6
01tbfesn,4,205,29,42,17550,2,81,61,0.52,0.9988455359952018,0.8990755495429398,3.80102412321514,4.5915645056454775,0.9334711057327512,255.5775018844915,73,6,0.0,0.0,0.0,71,5,outertot,1,5
01tbfesn,4,182,49,49,12422,3,29,42,0.4622222222222222,0.9958781583419282,0.8021769389027713,3.243897464740581,4.374853934426384,0.8194504547891495,250.18955842870344,4,4,0.0,0.0,0.0,48,5,outertot,1,8
01tbfesn,4,171,36,35,23725,4,49,49,0.2533333333333333,0.8165187119538281,0.7520592052248318,2.501494119325773,4.30116933764658,0.5839945646119457,233.62815039856375,6,2,0.0,14.035087719298245,12.280701754385964,34,5,outertot,2,7
01tbfesn,4,163,23,38,21673,5,36,35,0.0355555555555555,0.2215295581483614,0.2694311071805945,0.9685949014755872,3.685796497052564,0.229297083113367,126.11175889045565,9,9,0.0,0.0,0.0,17,5,outertot,1,4
01tbfesn,4,166,36,39,15147,6,23,38,0.1066666666666666,0.4897790136869375,0.5515214223167181,1.7218573027219195,3.978370082963143,0.4332604164911506,167.56027085074555,11,3,0.0,0.0,0.0,23,5,outertot,1,7
01tbfesn,4,165,18,22,9299,7,36,39,0.1066666666666666,0.4897790136869375,0.5386523819419458,1.5123427761356305,3.860721142719699,0.3756196572913861,142.46962247114325,5,2,0.0,37.5,45.83333333333333,12,9,outertot,2,8
01tbfesn,4,213,47,71,20895,8,18,22,0.4444444444444444,0.9910760598382222,0.9021895465719808,3.960451680320073,4.622848572752378,0.957551530185032,253.6032110276525,35,11,0.0,0.0,0.0,68,5,outertot,1,5
01tbfesn,4,211,25,28,20750,9,47,71,0.44,0.9895875212220556,0.8969364485803335,3.927486008274575,4.654089909402016,0.9546791041059546,258.8159423890755,43,8,0.0046896979327244,57.57575757575758,46.464646464646464,71,9,outertot,3,6
01tbfesn,4,195,16,17,8177,10,25,28,0.3333333333333333,0.9182958340544896,0.8215767071966258,3.514105425284684,4.5487713184104575,0.8803719376663296,246.67092167562097,30,21,0.0343616873342667,49.333333333333336,57.333333333333336,61,9,outertot,2,7
